country,country_code,super_region,region,sex,age,pop,alcohol_use,drug_use,high_meat,low_exercise,smoking
Philippines,PHL,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,Under 5,5833263.908,0.088564934,0.058712254,NA,NA,NA
Philippines,PHL,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,Under 5,5525752.281,0.057726663,0.04044241,NA,NA,NA
Sri Lanka,LKA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,Under 5,854318.6214,0.034486942,0.002178646,NA,NA,NA
Sri Lanka,LKA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,Under 5,822170.8604,0.025149467,0.006578981,NA,NA,NA
Sri Lanka,LKA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,70+ years,463685,103.1868858,11.92790151,0.011976273,290.7481976,557.6003343
Sri Lanka,LKA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,50-69 years,2235460,9.443498129,0.92969749,0.002456937,17.97825826,6.782566197
Sri Lanka,LKA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,70+ years,641452,41.63952835,1.804855856,0.006170877,178.9833535,37.55244834
Sri Lanka,LKA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,5-14 years,1730107,0.132437231,0.001336514,NA,NA,NA
Sri Lanka,LKA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,15-49 years,4992985,29.37570389,7.380219176,0.000516607,3.102737537,18.83092045
Sri Lanka,LKA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,50-69 years,1958464,77.31056539,13.26882775,0.005784316,49.45837427,207.1201336
Sri Lanka,LKA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,5-14 years,1717352,0.100749321,0.000819148,NA,NA,NA
Sri Lanka,LKA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,15-49 years,5332492,1.7259581,0.622630432,0.000175676,0.723819176,0.613561633
Seychelles,SYC,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,Under 5,4331.003714,0.041579719,0.172842488,NA,NA,NA
Seychelles,SYC,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,50-69 years,8701,144.0050197,19.85739509,1.234036426,50.77258684,352.2764659
Seychelles,SYC,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,15-49 years,24790,4.581398389,3.675576227,0.083683483,1.721957597,3.852693771
Seychelles,SYC,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,50-69 years,8817,24.9906152,5.370902727,0.955970609,22.68831595,38.08212641
Seychelles,SYC,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,5-14 years,6978,0.19300669,0.067269019,NA,NA,NA
Seychelles,SYC,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,70+ years,1832,287.9983047,40.21793429,3.093484338,252.8088633,1202.92604
Seychelles,SYC,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,70+ years,2934,140.1523128,13.41487368,2.787708763,222.6636978,210.9803958
Seychelles,SYC,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,5-14 years,7261,0.270273404,0.059923053,NA,NA,NA
Seychelles,SYC,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,15-49 years,26779,38.17962424,18.22583727,0.129429418,5.482590495,39.40279421
Seychelles,SYC,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,Under 5,4089.554962,0.057651084,0.197160398,NA,NA,NA
Thailand,THA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,70+ years,1989218,447.3546986,56.80434406,1.870680899,214.3537626,1992.667653
